Województwo,Rok,Kwartał,saldo migracji wewnętrznych
WIELKOPOLSKIE,2016,4,242.0
WIELKOPOLSKIE,2017,1,229.0
WIELKOPOLSKIE,2017,2,227.0
WIELKOPOLSKIE,2017,3,300.0
WIELKOPOLSKIE,2017,4,257.0
WIELKOPOLSKIE,2018,1,251.0
WIELKOPOLSKIE,2018,2,252.0
WIELKOPOLSKIE,2018,3,334.0
WIELKOPOLSKIE,2018,4,282.0
WIELKOPOLSKIE,2019,1,268.0
WIELKOPOLSKIE,2019,2,267.0
WIELKOPOLSKIE,2019,3,356.0
WIELKOPOLSKIE,2019,4,310.0
WIELKOPOLSKIE,2020,1,309.0
WIELKOPOLSKIE,2020,2,323.0
WIELKOPOLSKIE,2020,3,450.0
WIELKOPOLSKIE,2020,4,408.0
WIELKOPOLSKIE,2021,1,421.0
WIELKOPOLSKIE,2021,2,425.0
WIELKOPOLSKIE,2021,3,540.0
WIELKOPOLSKIE,2021,4,412.0
WIELKOPOLSKIE,2022,1,329.0
WIELKOPOLSKIE,2022,2,285.0
WIELKOPOLSKIE,2022,3,350.0
WIELKOPOLSKIE,2022,4,305.0
WIELKOPOLSKIE,2023,1,324.0
WIELKOPOLSKIE,2023,2,341.0
WIELKOPOLSKIE,2023,3,456.0
WIELKOPOLSKIE,2023,4,376.0
WIELKOPOLSKIE,2024,1,337.0
WIELKOPOLSKIE,2024,2,317.0
WIELKOPOLSKIE,2024,3,399.0
WIELKOPOLSKIE,2024,4,328.0
ZACHODNIOPOMORSKIE,2016,1,-110.0
ZACHODNIOPOMORSKIE,2016,2,-135.0
ZACHODNIOPOMORSKIE,2016,3,-214.0
ZACHODNIOPOMORSKIE,2016,4,-163.0
ZACHODNIOPOMORSKIE,2017,1,-135.0
ZACHODNIOPOMORSKIE,2017,2,-174.0
ZACHODNIOPOMORSKIE,2017,3,-283.0
ZACHODNIOPOMORSKIE,2017,4,-213.0
ZACHODNIOPOMORSKIE,2018,1,-170.0
ZACHODNIOPOMORSKIE,2018,2,-210.0
ZACHODNIOPOMORSKIE,2018,3,-327.0
ZACHODNIOPOMORSKIE,2018,4,-234.0
ZACHODNIOPOMORSKIE,2019,1,-175.0
ZACHODNIOPOMORSKIE,2019,2,-205.0
ZACHODNIOPOMORSKIE,2019,3,-301.0
ZACHODNIOPOMORSKIE,2019,4,-201.0
ZACHODNIOPOMORSKIE,2020,1,-140.0
ZACHODNIOPOMORSKIE,2020,2,-161.0
ZACHODNIOPOMORSKIE,2020,3,-248.0
ZACHODNIOPOMORSKIE,2020,4,-196.0
ZACHODNIOPOMORSKIE,2021,1,-172.0
ZACHODNIOPOMORSKIE,2021,2,-221.0
ZACHODNIOPOMORSKIE,2021,3,-337.0
ZACHODNIOPOMORSKIE,2021,4,-214.0
ZACHODNIOPOMORSKIE,2022,1,-129.0
ZACHODNIOPOMORSKIE,2022,2,-128.0
ZACHODNIOPOMORSKIE,2022,3,-177.0
ZACHODNIOPOMORSKIE,2022,4,-141.0
ZACHODNIOPOMORSKIE,2023,1,-133.0
ZACHODNIOPOMORSKIE,2023,2,-180.0
ZACHODNIOPOMORSKIE,2023,3,-288.0
ZACHODNIOPOMORSKIE,2023,4,-196.0
